area,site,season,mOTU001,mOTU002,mOTU008,mOTU011,mOTU014,mOTU015,mOTU018,mOTU023,mOTU025,mOTU027,mOTU040,mOTU053,mOTU055,mOTU056,mOTU058,mOTU065,mOTU066,mOTU072,mOTU073,mOTU075,mOTU089,mOTU097,mOTU098,mOTU100,mOTU103,mOTU104,mOTU105,mOTU106,mOTU107,mOTU108,mOTU110,mOTU111,mOTU112,mOTU114,mOTU116,mOTU117,mOTU139,mOTU142,mOTU146,mOTU147,mOTU150,mOTU151
NTCR (New Taipei),Cianshueiwan,summer,0,0,0,0,9,1,2,4,0,0,0,0,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0
NTCR (New Taipei),Shimen,spring,0,0,4,2,20,0,10,9,4,1,0,2,12,2,0,0,5,3,3,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,11,1,1,0,0,2
NTCR (New Taipei),Shimen,summer,0,0,0,0,19,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0
NTCR (New Taipei),Shimen,winter,2,0,7,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
TAR (Taoyuan),Baiyu,spring,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
TAR (Taoyuan),Baiyu,summer,0,0,0,0,0,0,0,6,5,0,1,0,0,0,0,1,0,0,0,0,0,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0
TAR (Taoyuan),Baosheng,summer,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,2,0,2,0,12,3,11,0,0,2,0,0
TAR (Taoyuan),Datan G1,spring,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
TAR (Taoyuan),Datan G2,spring,0,0,0,0,0,0,0,44,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,3,1,0,12,0,0,0,0,0
TAR (Taoyuan),Datan G2,summer,0,0,0,0,0,0,0,26,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,2,4,16,0,0,0,0,0
TAR (Taoyuan),Datan G2,winter,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
TAR (Taoyuan),Yongan,autumn,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0
TAR (Taoyuan),Yongan,spring,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,1,9,0,5,0,0,0,0,0
TAR (Taoyuan),Yongxin,spring,0,1,0,0,0,0,0,13,1,9,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0
